Country,Initials,Host,Year,Result,Last opponent,Remarks,Goals_scored,Goals_conceded,Matches,Wins,Draws,Losses,Win percentage,Coach
Slovakia,SVK,Germany,2006,Not qualified,,Did not qualify for the tournament,,,,,,,,
Slovakia,SVK,South Africa,2010,Round of 16,Netherlands,Eliminated by Netherlands,5,7,4,1,1,2,25.0,WEISS Vladimir (SVK)
Slovakia,SVK,Brazil,2014,Not qualified,,Did not qualify for the tournament,,,,,,,,
Slovenia,SVN,Uruguay,1930,Not qualified,,Did not qualify for the tournament,,,,,,,,
Slovenia,SVN,Italy,1934,Not qualified,,Did not qualify for the tournament,,,,,,,,
Slovenia,SVN,France,1938,Not qualified,,Did not qualify for the tournament,,,,,,,,
Slovenia,SVN,Brazil,1950,Not qualified,,Did not qualify for the tournament,,,,,,,,
Slovenia,SVN,Switzerland,1954,Not qualified,,Did not qualify for the tournament,,,,,,,,
Slovenia,SVN,Sweden,1958,Not qualified,,Did not qualify for the tournament,,,,,,,,
Slovenia,SVN,Chile,1962,Not qualified,,Did not qualify for the tournament,,,,,,,,
Slovenia,SVN,England,1966,Not qualified,,Did not qualify for the tournament,,,,,,,,
Slovenia,SVN,Mexico,1970,Not qualified,,Did not qualify for the tournament,,,,,,,,
Slovenia,SVN,Germany,1974,Not qualified,,Did not qualify for the tournament,,,,,,,,
Slovenia,SVN,Argentina,1978,Not qualified,,Did not qualify for the tournament,,,,,,,,
Slovenia,SVN,Spain,1982,Not qualified,,Did not qualify for the tournament,,,,,,,,
Slovenia,SVN,Mexico,1986,Not qualified,,Did not qualify for the tournament,,,,,,,,
Slovenia,SVN,Italy,1990,Not qualified,,Did not qualify for the tournament,,,,,,,,
Slovenia,SVN,USA,1994,Not qualified,,Did not qualify for the tournament,,,,,,,,
Slovenia,SVN,France,1998,Not qualified,,Did not qualify for the tournament,,,,,,,,
Slovenia,SVN,Korea/Japan,2002,Group stage,Paraguay,Eliminated in the group stages,2,7,3,0,0,3,0.0,KATANEC Srecko (SVN)
Slovenia,SVN,Germany,2006,Not qualified,,Did not qualify for the tournament,,,,,,,,
Slovenia,SVN,South Africa,2010,Group stage,England,Eliminated in the group stages,3,3,3,1,1,1,33.33,KEK Matjaz (SVN)
Slovenia,SVN,Brazil,2014,Not qualified,,Did not qualify for the tournament,,,,,,,,
South Africa,RSA,Uruguay,1930,Not qualified,,Did not qualify for the tournament,,,,,,,,
South Africa,RSA,Italy,1934,Not qualified,,Did not qualify for the tournament,,,,,,,,
South Africa,RSA,France,1938,Not qualified,,Did not qualify for the tournament,,,,,,,,
South Africa,RSA,Brazil,1950,Not qualified,,Did not qualify for the tournament,,,,,,,,
South Africa,RSA,Switzerland,1954,Not qualified,,Did not qualify for the tournament,,,,,,,,
South Africa,RSA,Sweden,1958,Not qualified,,Did not qualify for the tournament,,,,,,,,
South Africa,RSA,Chile,1962,Not qualified,,Did not qualify for the tournament,,,,,,,,
South Africa,RSA,England,1966,Not qualified,,Did not qualify for the tournament,,,,,,,,
South Africa,RSA,Mexico,1970,Not qualified,,Did not qualify for the tournament,,,,,,,,
South Africa,RSA,Germany,1974,Not qualified,,Did not qualify for the tournament,,,,,,,,
South Africa,RSA,Argentina,1978,Not qualified,,Did not qualify for the tournament,,,,,,,,
South Africa,RSA,Spain,1982,Not qualified,,Did not qualify for the tournament,,,,,,,,
South Africa,RSA,Mexico,1986,Not qualified,,Did not qualify for the tournament,,,,,,,,
South Africa,RSA,Italy,1990,Not qualified,,Did not qualify for the tournament,,,,,,,,
South Africa,RSA,USA,1994,Not qualified,,Did not qualify for the tournament,,,,,,,,
South Africa,RSA,France,1998,Group stage,Saudi Arabia,Eliminated in the group stages,3,6,3,0,2,1,0.0,TROUSSIER Philippe (FRA)
South Africa,RSA,Korea/Japan,2002,Group stage,Spain,Eliminated in the group stages,5,5,3,1,1,1,33.33,SONO Jomo (RSA)
South Africa,RSA,Germany,2006,Not qualified,,Did not qualify for the tournament,,,,,,,,
South Africa,RSA,South Africa,2010,Group stage,France,Eliminated in the group stages,3,5,3,1,1,1,33.33,PARREIRA Carlos Alberto (BRA)
South Africa,RSA,Brazil,2014,Not qualified,,Did not qualify for the tournament,,,,,,,,
Soviet Union,URS,Uruguay,1930,Not qualified,,Did not qualify for the tournament,,,,,,,,
Soviet Union,URS,Italy,1934,Not qualified,,Did not qualify for the tournament,,,,,,,,
Soviet Union,URS,France,1938,Not qualified,,Did not qualify for the tournament,,,,,,,,
Soviet Union,URS,Brazil,1950,Not qualified,,Did not qualify for the tournament,,,,,,,,
Soviet Union,URS,Switzerland,1954,Not qualified,,Did not qualify for the tournament,,,,,,,,
Soviet Union,URS,Sweden,1958,Quarter-finals,Sweden,Eliminated by Sweden,5,6,5,2,1,2,40.0,KACHALIN Gavril (URS)
Soviet Union,URS,Chile,1962,Quarter-finals,Chile,Eliminated by Chile,9,7,4,2,1,1,50.0,KACHALIN Gavril (URS)
Soviet Union,URS,England,1966,Fourth place,Portugal,Finished 4th behind Portugal,10,6,6,4,0,2,66.67,MOROZOV Nikolai (URS)
Soviet Union,URS,Mexico,1970,Quarter-finals,Uruguay,Eliminated by Uruguay,6,2,4,2,1,1,50.0,KACHALIN Gavril (URS)
Soviet Union,URS,Germany,1974,Not qualified,,Did not qualify for the tournament,,,,,,,,
Soviet Union,URS,Argentina,1978,Not qualified,,Did not qualify for the tournament,,,,,,,,
Soviet Union,URS,Spain,1982,Group stage,Poland,Eliminated in the group stages,7,4,5,2,2,1,40.0,BESKOV Konstantin (RUS)
Soviet Union,URS,Mexico,1986,Round of 16,Belgium,Eliminated by Belgium,12,5,4,2,1,1,50.0,LOBANOVSKYI Valeriy (UKR)
Soviet Union,URS,Italy,1990,Group stage,Cameroon,Eliminated in the group stages,4,4,3,1,0,2,33.33,LOBANOVSKYI Valeriy (UKR)
Soviet Union,URS,USA,1994,Not qualified,,Did not qualify for the tournament,,,,,,,,
Soviet Union,URS,France,1998,Not qualified,,Did not qualify for the tournament,,,,,,,,
Soviet Union,URS,Korea/Japan,2002,Not qualified,,Did not qualify for the tournament,,,,,,,,
Soviet Union,URS,Germany,2006,Not qualified,,Did not qualify for the tournament,,,,,,,,
Soviet Union,URS,South Africa,2010,Not qualified,,Did not qualify for the tournament,,,,,,,,
Soviet Union,URS,Brazil,2014,Not qualified,,Did not qualify for the tournament,,,,,,,,
Spain,ESP,Uruguay,1930,Not qualified,,Did not qualify for the tournament,,,,,,,,
Spain,ESP,Italy,1934,Quarter-finals,Italy,Eliminated by Italy,4,3,3,1,1,1,33.33,GARCIA Amadeo (ESP)
Spain,ESP,France,1938,Not qualified,,Did not qualify for the tournament,,,,,,,,
Spain,ESP,Brazil,1950,Group stage,Sweden,Eliminated in the group stages,10,12,6,3,1,2,50.0,EIZAGUIRRE Guillermo (ESP)
Spain,ESP,Switzerland,1954,Not qualified,,Did not qualify for the tournament,,,,,,,,
Spain,ESP,Sweden,1958,Not qualified,,Did not qualify for the tournament,,,,,,,,
Spain,ESP,Chile,1962,Group stage,Brazil,Eliminated in the group stages,2,3,3,1,0,2,33.33,HERRERA Helenio (ARG)
Spain,ESP,England,1966,Group stage,Germany,Eliminated in the group stages,4,5,3,1,0,2,33.33,VILLALONGA Jose (ESP)
Spain,ESP,Mexico,1970,Not qualified,,Did not qualify for the tournament,,,,,,,,
Spain,ESP,Germany,1974,Not qualified,,Did not qualify for the tournament,,,,,,,,
Spain,ESP,Argentina,1978,Group stage,Sweden,Eliminated in the group stages,2,2,3,1,1,1,33.33,KUBALA Ladislao (ESP)
Spain,ESP,Spain,1982,Group stage,England,Eliminated in the group stages,4,5,5,1,2,2,20.0,SANTAMARIA Jose (URU)
Spain,ESP,Mexico,1986,Quarter-finals,Belgium,Eliminated by Belgium,11,4,5,3,0,2,60.0,MUNOZ Miguel (ESP)
Spain,ESP,Italy,1990,Round of 16,Yugoslavia,Eliminated by Yugoslavia,6,4,4,2,1,1,50.0,SUAREZ Luis (ESP)
Spain,ESP,USA,1994,Quarter-finals,Italy,Eliminated by Italy,10,6,5,2,2,1,40.0,CLEMENTE Javier (ESP)
